Date,Company,Round,Amount (USD M),Lead Investor,Co-Investors,Category,Stage,Headquarters
2025-01,U2U Network,Seed,13.8,KuCoin Ventures,"Chain Capital, JDI Ventures",Blockchain,Seed,Ho Chi Minh City
2024-11,MoMo,Series E,100,Mizuho Financial Group,"Ward Ferry, Goodwater Capital",E-Wallet,Late Stage,Ho Chi Minh City
2024-09,Fundiin,Series B,25,SMBC Asia Rising Fund,"Trihill Capital, VIG",BNPL,Growth,Ho Chi Minh City
2024-08,Sky Mavis,Strategic,10,Animoca Brands,,Gaming / Blockchain,Growth,Ho Chi Minh City
2024-07,Finhay (Infina),Series B,25,Openspace Ventures,"TNB Aura, Headline Asia",Investment,Growth,Ho Chi Minh City
2024-06,VNPay,Series B,250,SoftBank Vision Fund 2,"GIC, Dragoneer",Payment Infrastructure,Late Stage,Hanoi
2024-05,Holdstation,Seed,5.5,Hashed,"Coin98 Ventures, NGC Ventures",DeFi,Seed,Ho Chi Minh City
2024-04,Mfast,Series A,8,Openspace Ventures,"Do Ventures, Vertex Ventures",InsurTech,Early Stage,Ho Chi Minh City
2024-03,KiotViet,Series B,45,KKR,"Jungle Ventures, Northstar",SaaS / Fintech,Growth,Ho Chi Minh City
2024-02,Oraichain,Series A,12,NGC Ventures,"DWF Labs, HashKey Capital",AI + Blockchain,Early Stage,Ho Chi Minh City
2024-01,Payoo,Growth,20,NTT Data,VietUnion,Payment Gateway,Late Stage,Ho Chi Minh City
2023-12,Coin98,Series B,22,Hashed,"Spartan Group, Mechanism Capital",DeFi,Growth,Ho Chi Minh City
2023-11,1Matrix,Pre-Seed,2.5,Angel investors,,Blockchain,Pre-Seed,Hanoi
2023-09,Lendela,Series A,5.2,Hustle Fund,"Insignia Ventures, Wavemaker",Lending,Early Stage,Ho Chi Minh City
2023-08,Ancient8,Seed,6,Dragonfly,"Pantera, Hashed, Coinbase Ventures",Gaming / Blockchain,Seed,Ho Chi Minh City
2023-06,Papaya,Series A,4.5,Granite Asia,"Do Ventures",InsurTech,Early Stage,Ho Chi Minh City
2023-04,VNLife,Growth,250,SoftBank Vision Fund 2,"GIC, Dragoneer",Payment Infrastructure,Late Stage,Hanoi
2023-03,Trusting Social,Series B,30,Sequoia Capital India,"GGV Capital",Credit Scoring / AI,Growth,Ho Chi Minh City
2023-01,Do Ventures Fund II,,50,LPs,,Venture Capital Fund,Fund,Ho Chi Minh City
2022-11,Tiki (fintech arm),Series E,50,AIA Group,,E-commerce / Fintech,Late Stage,Ho Chi Minh City
