Month,Day,Event,Type,Impact
Jan,,SBV Annual Monetary Policy Direction,Regulatory,High
Jan,,GSO GDP & Economic Report (Full Year),Data Release,High
Feb,,Tet Holiday (Lunar New Year) — Markets Closed 1 Week,Market,Medium
Mar,,VIFC Da Nang Quarterly Registration Report,VIFC,Medium
Mar,,SSC Annual Securities Market Report,Data Release,Medium
Apr,,Annual General Meeting Season (Listed Companies),Market,High
Apr,,GSO Q1 GDP Preliminary Estimate,Data Release,High
May,,National Assembly Session (Legislation),Regulatory,High
Jun,,FTSE Russell Annual Country Classification Review,Market,Very High
Jun,,VIFC Da Nang Semi-Annual Review,VIFC,Medium
Jul,,SBV Fintech Sandbox Annual Assessment (Decree 94),Regulatory,High
Jul,,GSO Q2 GDP & H1 Economic Report,Data Release,High
Aug,,MSCI Annual Market Classification Review,Market,Very High
Sep,,VIFC Da Nang Anniversary & Annual Conference,VIFC,Medium
Sep,,Vietnam Fintech Summit (industry event),Industry,Medium
Oct,,National Assembly Session (Budget & Legislation),Regulatory,High
Oct,,GSO Q3 GDP Preliminary Estimate,Data Release,High
Nov,,SBV Interest Rate Decision (if applicable),Regulatory,High
Nov,,Vietnam Blockchain Summit,Industry,Medium
Dec,,Annual Tax Filing Deadline for CIT,Compliance,High
Dec,,VIFC Da Nang Year-End Progress Report,VIFC,Medium
Dec,,Foreign Investor Quota Review (SSC),Regulatory,Medium
