Date,Event,URL
2017,SBV launches fintech regulatory sandbox pilot program,https://www.sbv.gov.vn
2019,"Decree 80/2019 on cashless payments — target 80% non-cash by 2025",https://thuvienphapluat.vn/van-ban/Tien-te-Ngan-hang/Nghi-dinh-80-2019-ND-CP-thanh-toan-khong-dung-tien-mat/425381/noi-dung.aspx
2020,"Mobile Money pilot approved for Viettel, VNPT, MobiFone",https://vietnamnet.vn/en/three-telcos-licensed-to-pilot-mobile-money-services-in-vietnam-E185912.html
2021,E-KYC guidelines released by State Bank of Vietnam,https://www.sbv.gov.vn
2022,Draft decree on fintech sandbox regulation published,https://www.globalgovernmentfintech.com/vietnam-progresses-fintech-sandbox/
2023,Digital banking license framework proposed by SBV,https://vir.com.vn/from-idea-to-market-fintech-sandbox-takes-shape-128543.html
Jun 2024,Resolution 98 — VIFC Da Nang special financial zone established,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-quyet-98-2023-QH15
Sep 2024,VIFC Da Nang begins accepting entity registrations,https://vifcdanang.vn
Jan 2025,Cross-border payment integration pilot with ASEAN nations,https://www.napas.com.vn
Mar 2025,VIFC regulatory sandbox opens for fintech & blockchain startups,https://www.tilleke.com/insights/vietnams-regulatory-sandboxes-paving-the-way-for-digital-innovation/
Apr 2025,Decree 94/2025 — SBV fintech sandbox formally enacted,https://www.lexology.com/library/detail.aspx?g=9cc56020-1d65-4024-a503-72ade1dbeafb
Jun 2025,Vietnam carbon ETS pilot launches (Decision 232),https://icapcarbonaction.com/en/news/vietnam-approves-carbon-market-roadmap-pilot-ets-launch-june-2025
